attitudes_count,comments_count,reposts_count,mid,raw_text,source,user.description,user.follow_count,user.followers_count,user.gender,user.id,user.mbrank,user.mbtype,user.profile_url,user.profile_image_url,user.screen_name,user.statuses_count,user.urank,user.verified,user.verified_reason,F_or_T
0,0,0,4472739404489061,抓住2/16的尾巴，#吴亦凡出道八周年#,微博 weibo.com,阴阳怪气第一名，有妈你就来,208,778,m,5214244268,0,0,https://m.weibo.cn/u/5214244268?uid=5214244268,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/005GSr80ly8gdi7o5o3gvj30ig0igt9d.jpg?KID=imgbed,tva&Expires=1587586021&ssig=yAR5nKSBkr",骂我的都没妈妈,3326,30,False,,T
1,0,0,4483239446333716,哥哥晚安超爱你,AI实力派 vivo Z1,吴亦凡❤️,92,101,f,5678666964,1,2,https://m.weibo.cn/u/5678666964?uid=5678666964,"https://tvax1.sinaimg.cn/crop.0.0.996.996.180/006cj6GEly8gb6doqivm7j30ro0rota4.jpg?KID=imgbed,tva&Expires=1587586817&ssig=gS9%2FKjDW4j",魔法少女吼吼吼,2249,9,False,,T
0,0,0,4477780865196407,听#贰叁[音乐]#,Android,Move in the direction of your dreams.,245,185,f,5658734812,2,11,https://m.weibo.cn/u/5658734812?uid=5658734812,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/006aXtqkly8gdvpy7k7vxj30ig0iggmq.jpg?KID=imgbed,tva&Expires=1587586022&ssig=S0x6I6r0DP",阿凡点点点,3195,9,True,吴亦凡超话粉丝大咖,T
0,0,0,4477779167204793,转发微博,iPhone客户端,吴亦凡💕,323,168,f,6508058434,0,0,https://m.weibo.cn/u/6508058434?uid=6508058434,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0076r9iqly8g8mh5mug67j30u00u0mzq.jpg?KID=imgbed,tva&Expires=1587586022&ssig=ITWVX%2BT9eu",Galaxy_99,11241,14,True,吴亦凡超话粉丝大咖,T
0,0,0,4483234899202982,加油呐，还有… 过了一个月多量ge li第一天的过来人说，很快就过去了[加油],,自己是自己的☀️，不是自恋,594,323,f,1781645093,7,12,https://m.weibo.cn/u/1781645093?uid=1781645093,"https://tvax4.sinaimg.cn/crop.0.0.1002.1002.180/6a31bf25ly8gdill3k0qkj20ru0ru0u8.jpg?KID=imgbed,tva&Expires=1587586817&ssig=ViBQuKFvDq",爱吃糖醋排骨的妙妙,14137,48,False,,T
0,0,0,4477778705359734,转发微博,前置双摄vivo X9,,514,9,f,6214657757,1,2,https://m.weibo.cn/u/6214657757?uid=6214657757,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/006MA4nrly8gbqgf9l7rfj30ro0ro0ul.jpg?KID=imgbed,tva&Expires=1587586022&ssig=kRHioDeNQb",南笙姑娘sehun,184,0,False,,T
0,0,0,4477778541507820,#吴亦凡新歌贰叁# 吴亦凡，我好想你@Mr_凡先生 ,OPPO智能手机,不要欺负我喜欢的人，我很记仇的😔,224,135,f,2143108372,4,12,https://m.weibo.cn/u/2143108372?uid=2143108372,"https://tvax3.sinaimg.cn/crop.0.0.664.664.180/7fbd3d14ly8gdnp4w9nx0j20ig0iggn3.jpg?KID=imgbed,tva&Expires=1587586022&ssig=Q9P4FTIooH",GALAXY-旺旺,1634,28,True,吴亦凡超话粉丝大咖,T
0,0,0,4483229836941860,下一首歌是什么时候啊，想听新歌了,小米MIX2S 全面屏,银河护卫队,198,94,f,5992946268,3,2,https://m.weibo.cn/u/5992946268?uid=5992946268,"https://tvax2.sinaimg.cn/crop.0.0.1002.1002.180/006xzN5Gly8gduplkr8zrj30ru0ruace.jpg?KID=imgbed,tva&Expires=1587586817&ssig=fv7vO2J497",吴一番的沙拉,477,14,False,,T
0,0,0,4482467689586677,空庭雨飘落，花凋零落寞[给你小心心],iPhone 6 Plus,喜欢的人很优秀,143,16,f,6067131712,1,2,https://m.weibo.cn/u/6067131712?uid=6067131712,"https://tvax2.sinaimg.cn/crop.0.0.656.656.180/006CB476ly8gd4thnh4j4j30i80i8gmd.jpg?KID=imgbed,tva&Expires=1587586811&ssig=zRGFzEXeDY",518我最爱,83,4,False,,T
1,0,0,4482464065925848,转发微博,荣耀20 PRO,活的太清醒本身就是一件不浪漫的事 . 岁月悠长 山河无恙 但你我都不再复当年模样.  沟壑难平 山海不在 大概是不够优秀 不值得拥有.,80,14,f,6488428541,1,11,https://m.weibo.cn/u/6488428541?uid=6488428541,"https://tvax1.sinaimg.cn/crop.0.0.1008.1008.180/00756MFfly8gdjomim52pj30s00s040a.jpg?KID=imgbed,tva&Expires=1587586811&ssig=gXDD4DYPrq",嘉恒未来可期,236,4,False,,T
0,0,0,4482459405660727,转发微博,iPhone客户端,,100,136,m,6527834606,0,0,https://m.weibo.cn/u/6527834606?uid=6527834606,"https://tvax2.sinaimg.cn/crop.0.0.640.640.180/0077M7YWly8ge1gzyonyej30hs0hsmy7.jpg?KID=imgbed,tva&Expires=1587586811&ssig=EnpaNKRzYO",时间煮雨FreesTyLe,2973,4,False,,T
1,0,0,4488676526732780,晚安呐凡！,,黑暗无边，与你并肩,71,57,f,6121725864,4,11,https://m.weibo.cn/u/6121725864?uid=6121725864,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006Gi8xWly8gccjilt4j2j30u00u0wjg.jpg?KID=imgbed,tva&Expires=1587586022&ssig=A7oC6B8A2D",KRISTYLE1990,4776,9,False,,T
0,0,0,4482884549064331,转发微博,小米MIX 3 滑盖全面屏,奥利给,112,76,f,5281990263,2,2,https://m.weibo.cn/u/5281990263?uid=5281990263,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/005LsGXlly8gdyyfdha22j30ru0rugod.jpg?KID=imgbed,tva&Expires=1587586022&ssig=xg4gzgzrZ1",呜啦WYF,1061,14,False,,T
0,0,0,4482879449323609,转一转！冲一亿！,nova4自拍极点全面屏,吴亦凡官方认证圈外女友,110,37,f,7307115742,0,0,https://m.weibo.cn/u/7307115742?uid=7307115742,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/007YvUBwly8gbjipha7w6j30ro0rogo5.jpg?KID=imgbed,tva&Expires=1587586022&ssig=UI9HRitWmg",老吴的小韩,358,0,False,,T
0,0,0,4482876810459816,转发微博,追剧神器小米平板4,可以一起看日出和日落吗,532,71,f,6261644201,0,0,https://m.weibo.cn/u/6261644201?uid=6261644201,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006PLdHjly8galkvucgrdj30u00u0q6q.jpg?KID=imgbed,tva&Expires=1587586022&ssig=RcayDa0qLp",爱吃小龙虾的七七,114,9,False,,T
0,0,0,4487511168839792,想听新歌,Android,花钱就是好鲵！,352,164,m,6334616013,2,2,https://m.weibo.cn/u/6334616013?uid=6334616013,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/006UHp01ly8gdywpkq15xj30ro0ro0uh.jpg?KID=imgbed,tva&Expires=1587586022&ssig=NC%2F%2FE772XM",1106号机器人,7284,14,False,,T
0,0,0,4487509503262745,“音乐我付出了很多，我们继续唱”--@Mr_凡先生 ,Android,,23,7,m,7298343636,0,0,https://m.weibo.cn/u/7298343636?uid=7298343636,"https://tvax1.sinaimg.cn/crop.0.0.1002.1002.180/007XV6zWly8gdi7ozrr0pj30ru0ruadn.jpg?KID=imgbed,tva&Expires=1587586022&ssig=l8ar3kgzmh",专偿德75,4868,0,False,,T
0,0,0,4472176272800345,我起码完整的5刷了//@豆沙BBQ:节目还是很有趣的 能看到凡凡的很多面，我每期都能看很多遍  记得点赞分享 刷弹幕 ~,小米6 拍人更美,galaxy,2106,1182,f,5046137415,4,12,https://m.weibo.cn/u/5046137415?uid=5046137415,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/005vv4R9ly8gdimo073syj30ro0roaap.jpg?KID=imgbed,tva&Expires=1587586022&ssig=GTwUBpVwJO",小特児,46200,29,True,吴亦凡超话粉丝大咖,T
0,0,0,4487509159540624,“时间会证明一切，我只用作品发声。我身上流淌的是炎黄子孙的血液，让世界听到我们华人的音乐 ，这是我一直坚持的事情。路遥知马力，一起闯天地”--@Mr_凡先生 ,Android,,25,10,m,7298801934,0,0,https://m.weibo.cn/u/7298801934?uid=7298801934,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.180/007XX1NQly8gdi7qa61mij30ru0rudhv.jpg?KID=imgbed,tva&Expires=1587586022&ssig=1hXwptiR5N",菊液幅68,4868,0,False,,T
0,0,0,4487505041083763,集中给哥哥补一波掉掉的赞[羞嗒嗒],,天庭信号不好，仙女2G冲浪中,273,837,f,5268351156,6,12,https://m.weibo.cn/u/5268351156?uid=5268351156,"https://tvax1.sinaimg.cn/crop.0.0.664.664.180/005KxsNKly8gdqpmecwc7j30ig0ih753.jpg?KID=imgbed,tva&Expires=1587586022&ssig=4kyGywQ6gf",银河予_你,4828,37,False,,T
0,0,0,4487501924175546,好听,Redmi Note 8四摄,向日葵说：只要心向着太阳的地方，就会有温暖,73,29,f,5243173945,0,0,https://m.weibo.cn/u/5243173945?uid=5243173945,"https://tvax3.sinaimg.cn/crop.0.0.1002.1002.180/005IPP3Hly8gcre6d81yjj30ru0rujuj.jpg?KID=imgbed,tva&Expires=1587586022&ssig=un3O35ZMs%2B",向日葵温暖34,130,4,False,,T
0,0,0,4474188859907154,转发微博,iPhone客户端,喜欢自由／喜欢时尚,476,675,f,1720099931,0,0,https://m.weibo.cn/u/1720099931?uid=1720099931,"https://tva2.sinaimg.cn/crop.0.0.180.180.180/6686a45bjw1e8qgp5bmzyj2050050aa8.jpg?KID=imgbed,tva&Expires=1587586810&ssig=t%2BwaLV4Fog",carrie_li,21626,31,False,,T
2,0,0,4483455025359487,就像经历了漫漫光年的距离，终于抵达了群星之中的那颗星球。因为你，我想要成为一个更好的人[心],vivo X21屏幕指纹手机,天空越黑 星星越亮✨,57,6,f,7404887385,0,0,https://m.weibo.cn/u/7404887385?uid=7404887385,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/008589tvly8ge0d1e37bhj30ro0romyy.jpg?KID=imgbed,tva&Expires=1587586022&ssig=zIeKVRVst%2B",i凡凡崽儿,188,0,False,,T
