attitudes_count,comments_count,reposts_count,mid,raw_text,source,user.description,user.follow_count,user.followers_count,user.gender,user.id,user.mbrank,user.mbtype,user.profile_url,user.profile_image_url,user.screen_name,user.statuses_count,user.urank,user.verified,user.verified_reason
0,0,0,4351917935017043,转发微博,iPhone客户端,,63,1,f,6765039195,0,0,https://m.weibo.cn/u/6765039195?uid=6765039195,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/007nPpJply8g197t7kap8j30e80e8dgc.jpg?KID=imgbed,tva&Expires=1587421904&ssig=XWsqZlDLv9",用户6765039195,19,0,False,
0,0,0,4351897927741654,#蔡徐坤Bigger# [太开心]#蔡徐坤 ONE# 简约不是少，而是没有多余，足够也不是多，而是刚好你在。蔡徐坤@蔡徐坤,vivo X23全息幻彩,,60,2,m,6778658168,0,0,https://m.weibo.cn/u/6778658168?uid=6778658168,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1587421904&ssig=9F%2BCTx2bwL",用户6778658168,20,0,False,
0,0,0,4351897920425771,[挖鼻][挖鼻][挖鼻],iPhone客户端,,49,2,f,6782958415,0,0,https://m.weibo.cn/u/6782958415?uid=6782958415,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif?KID=imgbed,tva&Expires=1587422301&ssig=1HRbxG4Fgx",用户6782958415,38,3,False,
0,0,0,4351897886276621,转发微博,vivo智能手机,,2,1,f,6797762151,0,0,https://m.weibo.cn/u/6797762151?uid=6797762151,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif?KID=imgbed,tva&Expires=1587422301&ssig=1HRbxG4Fgx",用户6797762151,32,4,False,
0,0,0,4351897614012419,哥哥,iPhone客户端,,2,1,f,6777752973,0,0,https://m.weibo.cn/u/6777752973?uid=6777752973,"https://tvax1.sinaimg.cn/default/images/default_avatar_female_180.gif?KID=imgbed,tva&Expires=1587422301&ssig=1HRbxG4Fgx",用户6777752973,20,0,False,
0,0,0,4351897613485117,转发微博,告别不快vivo V3,一花🌸一世界    一生♡为一人 是人走茶凉  还是心为空灵   其实开心最重要,661,883,f,6375206278,6,11,https://m.weibo.cn/u/6375206278?uid=6375206278,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006XrInIly8gdj56a10wbj30ro0ro0tt.jpg?KID=imgbed,tva&Expires=1587422301&ssig=L0%2BexlqEfW",黑猫VS坤少,21732,31,True,蔡徐坤超话粉丝大咖
0,0,0,4351897450803207,转发微博,坚果手机 R1,,4,2,m,6783603883,0,0,https://m.weibo.cn/u/6783603883?uid=6783603883,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_180.gif?KID=imgbed,tva&Expires=1587422301&ssig=Ko%2FSkNCmIg",用户6783603883,93,4,False,
0,0,0,4362161650233163,转发微博,荣耀7X 全面屏手机,,31,12,f,5899581130,1,2,https://m.weibo.cn/u/5899581130?uid=5899581130,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/006rg2ymly8fyhnvv1n81j30ro0ro76p.jpg?KID=imgbed,tva&Expires=1587421904&ssig=JJ2yiWHNnm",眼中人ikk,846,4,False,
0,0,0,4362155270687935,转发微博,荣耀V9 我想要的快,,52,2,m,6785894677,0,0,https://m.weibo.cn/u/6785894677?uid=6785894677,"https://tvax3.sinaimg.cn/crop.0.0.180.180.180/007peVc9ly8g57pjajrisj30500500sv.jpg?KID=imgbed,tva&Expires=1587421904&ssig=9hx%2FreeYZa",会跳舞的小飞猪弭66,90,4,False,
0,0,0,4353719325732027,愿你现实无纷扰，梦境无喧嚣。,Android,,0,1,m,7012398188,0,0,https://m.weibo.cn/u/7012398188?uid=7012398188,"https://tvax1.sinaimg.cn/crop.0.0.640.640.180/007Ezj6Aly8g0kbcdg6tjj30hs0hsab6.jpg?KID=imgbed,tva&Expires=1587421904&ssig=UGx21JtZ6I",葵妻有矿zXo938,79,4,False,
